ClienteID,Nome,Idade,Genero,Segmento,Localizacao
8fc93778-2885-40d1-a8e0-c8009e482e45,Olivia Sampaio,18,M,Alta Frequência,"São Paulo, São Paulo"
d9162e44-b0a1-4621-87fe-fddbfbb9bf21,Danilo Ribeiro,50,F,Alta Receita,"Curitiba, Paraná"
71e538a4-e8c0-463d-a58a-9c6bf205da82,Asafe Carvalho,36,F,Alta Frequência,"Macapá, Amapá"
611e6047-790a-474e-a185-e21be156df17,Eloá Vargas,20,F,Recorrente,"Maceió, Alagoas"
fcdeb1c8-b028-4afc-960f-96d9051bb698,Dr. Fernando Machado,59,F,Alta Frequência,"Santarém, Pará"
7de471bf-f865-4d61-8515-5381e4dc6680,Manuella Fernandes,23,M,Alta Frequência,"Joinville, Santa Catarina"
5eb63bc5-e2f1-4e16-95c3-3faefce176a1,Felipe Carvalho,19,M,Recorrente,"Brasília, Distrito Federal"
64c40063-ad68-43c6-8cd3-a6a49fc08086,Daniel Vieira,24,F,Alta Frequência,"Florianópolis, Santa Catarina"
f629c955-3277-4b28-ab3d-48acf5ddb7d2,Luna da Rocha,68,F,Alta Receita,"Joinville, Santa Catarina"
c95d2093-f2e2-4d2f-8af3-c094b61ed8af,Luiz Gustavo Pereira,37,F,Alta Receita,"Brasília, Distrito Federal"
0415a961-7ea7-4ded-8ca0-152efbcb4db6,Maria Vitória Cavalcante,34,F,Alta Receita,"Palmas, Tocantins"
31286dc8-40b1-4b20-99eb-b4955d7ecb5f,Lara Moreira,23,M,Alta Receita,"Sobral, Ceará"
7d5704df-0600-42c3-aa7a-109ee77ee2a9,Sr. Benjamim Rezende,48,F,Recorrente,"Anápolis, Goiás"
435b6625-4e7f-447f-b354-f19d3d224110,Marina Fernandes,42,M,Alta Receita,"Goiânia, Goiás"
febea834-bfff-4800-85d8-9da60a5b4eb2,Natália Ribeiro,41,M,Alta Receita,"Campinas, São Paulo"
08081d21-8d20-4cf6-953a-2bad148ae202,Anthony Sousa,43,M,Alta Receita,"Maceió, Alagoas"
6173a99e-4d7e-4eeb-84eb-169492dae5a7,Ravy Garcia,54,M,Recorrente,"Campina Grande, Paraíba"
ac01e53d-b1fe-49b8-8936-312c636dfeba,Marcos Vinicius Farias,27,M,Alta Frequência,"Sobral, Ceará"
da8746db-8338-4815-8d9a-fa655de63467,Maria Luísa Santos,31,F,Recorrente,"Goiânia, Goiás"
58a32011-f162-4df9-a1e1-0ae85795bee7,Sra. Evelyn Mendonça,27,F,Recorrente,"Maceió, Alagoas"
e9d1c994-1553-4cc9-8444-a6bd4819a23a,Antonella Rios,51,M,Alta Frequência,"Joinville, Santa Catarina"
8240252d-dc89-459a-9190-ae93e9d0c2ec,Antônio Cardoso,34,F,Alta Receita,"Londrina, Paraná"
3e32b1b4-1b67-4a64-8316-959cce64debe,Felipe Freitas,27,M,Alta Receita,"Campinas, São Paulo"
cd2c4a30-9268-4d81-a76c-f20210a12a0b,Caio Barbosa,18,F,Recorrente,"Niterói, Rio de Janeiro"
bc8b7eb7-0371-46f7-b91d-8c4c02781c40,Sr. Eduardo Pacheco,52,F,Alta Receita,"Araguaína, Tocantins"
f81793a1-df10-40ab-b734-7784a049d164,Luísa Viana,38,F,Recorrente,"Vitória, Espírito Santo"
1f39f9f9-9cd1-426b-9b17-dab8aa3961be,Davi Miguel Costa,24,F,Recorrente,"Aracaju, Sergipe"
14c69d19-ed33-49b7-befe-0e22eb0230a0,Caleb Silva,26,M,Alta Frequência,"Parintins, Amazonas"
6ed7149f-00fb-4b90-9772-2cf0f38e6bc3,Isabel Costela,28,M,Alta Receita,"Brasília, Distrito Federal"
630bf0db-1454-478f-b78b-f29d0cccb5c6,Sr. Renan Costa,45,F,Alta Frequência,"Belém, Pará"
9aff48af-7ecc-4177-bce8-f3f0b54f0f8a,Srta. Olivia da Paz,26,F,Alta Receita,"Vila Velha, Espírito Santo"
dd712dc5-9780-4e9b-ad18-c723bb47d3a4,Pedro Miguel Cirino,25,F,Alta Receita,"Cruzeiro do Sul, Acre"
2d0490a7-145d-4ec7-819d-c12d81f10d04,João Casa Grande,51,F,Recorrente,"Campinas, São Paulo"
f9046be7-934f-45c8-8ac0-68d3e0d02f5a,Davi Sampaio,27,F,Recorrente,"João Pessoa, Paraíba"
2fe26180-302d-472b-9366-4d76c2fc93d9,Sr. Enrico Gonçalves,69,F,Recorrente,"Belo Horizonte, Minas Gerais"
